"oil_USD","imp_price_mom","miacr_31","neer_mom","gdp_per_cap_SA","cpi_all_mom"
0.0913754118621091,0.002,0.0457,0.021,0.000640647007484674,0.0111259944917882
0.0147518677927057,0.011,0.0416,0.026,0.000750202854203685,0.00609229659380595
0.027219061583148,0.036,0.0502,0.012,0.000821241145910534,0.00827936856574138
0.104889318726278,-0.008,0.0497,-0.028,0.000857215979544357,0.0101390185164637
0.0564865733848663,-0.009,0.0476,-0.014,0.000895763576725273,0.0147031682173556
0.114995252234264,0.021,0.0551,-0.017,0.000959199615691908,0.00550168133949624
0.0463453943483882,0.015,0.0454,-0.016,0.00105169008415551,0.00519816846874649
0.0724495775170864,0.026,0.0468,0.009,0.0011546469418402,0.00522241460966978
-0.0768944092254378,0.011,0.0455,-0.016,0.00125883859413278,0.00521819830505904
-0.0442259371135334,-0.004,0.0479,-0.018,0.00135690062688809,0.00342002238489264
