"V1","Demeaned series  cpi_all_mom","Constructed series  cpi_all_mom","Cumulative effect of  oil_USD shock on  cpi_all_mom","Cumulative effect of  imp_price_mom shock on  cpi_all_mom","Cumulative effect of  miacr_31 shock on  cpi_all_mom","Cumulative effect of  neer_mom shock on  cpi_all_mom","Cumulative effect of  gdp_per_cap_SA shock on  cpi_all_mom","Cumulative effect of  cpi_all_mom shock on  cpi_all_mom"
41,0.00256891364255528,0.00260554520036886,0.00163283412231412,-0.000275637834688411,0.00418747533460062,-0.00397963554807046,-0.000218576992480502,0.00125908611869348
42,0.00065993571627402,0.000631413994164389,0.00220465594401973,0.000166059698566557,0.0036157363056184,-0.00571131857216342,-0.00125287701491482,0.00160915763303795
43,0.00658327827270942,0.00650656518029898,0.00128653051067782,0.000451411572320199,0.00547564996500583,-0.00261700240104258,0.00084624081017626,0.00106373472316145
44,0.00670073140358612,0.00662153039076095,-0.000507803544241492,0.000873975263168098,0.00127962990822886,0.00201789951023311,0.00254302298259857,0.000414806270773803
45,0.00558653921006842,0.00548896925312351,-0.00165559297852874,0.00018963194227298,-0.00105031512300214,0.00324672370856651,0.00395532719131853,0.000803194512496382
46,0.00154621602873019,0.00142510007977604,-0.00151670986280606,-0.000814226950320909,-0.00394816396188485,0.0018867817437294,0.00529789269295858,0.000519526418099889
47,0.00019501689242996,9.71871882487149e-05,-0.00104187378564218,-0.000168087850131552,-0.00412884082578808,0.000921329611455548,0.00430053863588045,0.000214121402474531
48,0.00122122473990246,0.0011527295159456,-0.000715652028460972,6.66149151404624e-05,-0.000559981367579167,4.15738172308364e-06,0.00324976569171528,-0.000892175076593085
49,0.00174172909285912,0.00168016316095195,-0.000401006249125938,-0.000163378712630478,-0.000546893744147191,-0.000558839375987924,0.00452197884045193,-0.00117169759760845
50,-0.00030350071614369,-0.000330843628512228,-0.000604122889318775,-0.000418914946539663,0.000550162082711567,-0.000212315272412066,0.00157719167515568,-0.00122284427810897
